p=0 | CubeHexMesh: Building sub cells
[MetricOpStats] ParamMass_M  (rows=4760)
  row_sum       min=4.0404e-07  max=0.00198  mean=0.000659429  max/|min|=4900.5
  |row_sum|     min=4.0404e-07  max=0.00198  mean=0.000659429  max/min=4900.5
  diag          min=1.79574e-07  max=0.00088  mean=0.000293079  nonpos=0
  max_abs_entry=0.00088
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.08644e-16 e[2]=0 e[3]=0 e[4]=0 e[5]=1.25089e-16 e[6]=2.39689e-16 e[7]=0 e[8]=0 e[9]=6.0082e-16 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check: max_primal_err=0 max_dual_err=7.08644e-16 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  77    1.567364e-17   6.275288e-04   4.684707e-15   1.000000e+00   173       78        1         0         
  78    1.521506e-17   4.659338e-04   6.157284e-15   1.000000e+00   175       79        1         0         
  79    1.477528e-17   5.988550e-04   1.188743e-14   1.000000e+00   177       80        1         0         
  80    1.406611e-17   6.157713e-04   2.168513e-14   1.000000e+00   179       81        1         0         
  81    1.380522e-17   1.169642e-03   1.913200e-14   3.967127e-01   182       82        2         0         
  82    1.312895e-17   4.852736e-04   1.792813e-14   1.000000e+00   184       83        1         0         
  83    1.280789e-17   3.634702e-04   1.075208e-14   1.000000e+00   186       84        1         0         
  84    1.243521e-17   4.727059e-04   1.234015e-14   1.000000e+00   188       85        1         0         
  85    1.197307e-17   7.262389e-04   2.159841e-14   1.000000e+00   190       86        1         0         
  86    1.144135e-17   6.708992e-04   2.407974e-14   1.000000e+00   192       87        1         0         
  87    1.096278e-17   4.665101e-04   1.073100e-14   1.000000e+00   194       88        1         0         
  88    1.020573e-17   5.865178e-04   2.458470e-14   1.000000e+00   196       89        1         0         
  89    9.915441e-18   1.112286e-03   2.351921e-14   1.000000e+00   198       90        1         0         
  90    9.371152e-18   6.026795e-04   1.702757e-14   1.000000e+00   200       91        1         0         
  91    8.849395e-18   4.202206e-04   2.097266e-14   1.000000e+00   202       92        1         0         
  92    8.539303e-18   4.892509e-04   1.510911e-14   1.000000e+00   204       93        1         0         
  93    8.046214e-18   6.669382e-04   2.677965e-14   1.000000e+00   206       94        1         0         
  94    7.879472e-18   8.433019e-04   3.135755e-14   1.000000e+00   208       95        1         0         
