iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
317,2.24309208e-17,1.54452708e-02,1.26611692e-10,9.29689720e-28,5.93736337e-15,6.88570521e+14,6.38639241e+12,5.87643424e-32,2.26884175e-18,2.24528619e-25,3.86091575e+13,1.19991838e+13,1.00000000e+00
318,2.00926002e-17,1.53578773e-02,1.17685465e-10,9.29690331e-28,5.93736827e-15,7.64354896e+14,6.38639348e+12,5.09879211e-32,1.84093704e-18,1.94458025e-25,3.61053560e+13,1.19991838e+13,1.00000000e+00
319,1.41061526e-17,1.25591903e-02,8.76081217e-11,9.29691653e-28,5.93737914e-15,8.90334217e+14,6.38639610e+12,3.64798449e-32,1.15922393e-18,1.38684016e-25,3.17771070e+13,1.19991838e+13,1.00000000e+00
320,1.52447142e-17,1.22205062e-02,9.08847393e-11,9.29692575e-28,5.93738763e-15,8.01622522e+14,6.38639890e+12,4.20696285e-32,1.42836042e-18,1.60191241e-25,3.39522947e+13,1.19991838e+13,1.00000000e+00
321,2.23688327e-17,1.39590868e-02,1.22211202e-10,9.29692700e-28,5.93738948e-15,6.24041809e+14,6.38640002e+12,6.14827821e-32,2.46926419e-18,2.35183179e-25,4.01618811e+13,1.19991838e+13,1.00000000e+00
322,1.18106588e-17,1.01798365e-02,7.24100238e-11,9.29693161e-28,5.93739610e-15,8.61919452e+14,6.38640398e+12,3.07053885e-32,1.01748979e-18,1.16848665e-25,3.31371735e+13,1.19991838e+13,1.00000000e+00
323,1.00093084e-17,8.92248575e-03,6.21945906e-11,9.29693623e-28,5.93740215e-15,8.91418803e+14,6.38640731e+12,2.75852491e-32,7.75486913e-19,1.04586127e-25,2.81123766e+13,1.19991838e+13,1.00000000e+00
324,1.27825885e-17,9.81200604e-03,7.49862409e-11,9.29694558e-28,5.93741663e-15,7.67607130e+14,6.38641646e+12,3.66031262e-32,1.20078011e-18,1.39258298e-25,3.28053976e+13,1.19991838e+13,1.00000000e+00
325,3.39186497e-17,2.02380475e-02,1.82707632e-10,9.29694592e-28,5.93741946e-15,5.96664303e+14,6.38641927e+12,8.99418040e-32,3.72416954e-18,3.44358357e-25,4.14064359e+13,1.19991838e+13,1.00000000e+00
326,1.59379689e-17,1.59549506e-02,1.03936687e-10,9.29694360e-28,5.93741945e-15,1.00106549e+15,6.38642085e+12,3.70643262e-32,1.12917456e-18,1.40769590e-25,3.04652661e+13,1.19991838e+13,1.00000000e+00
327,1.39697486e-17,1.27960198e-02,8.77662264e-11,9.29693539e-28,5.93741980e-15,9.15980684e+14,6.38642687e+12,3.52649488e-32,1.09373235e-18,1.33989956e-25,3.10147153e+13,1.19991838e+13,1.00000000e+00
328,2.20468674e-17,1.51418930e-02,1.24334666e-10,9.29692056e-28,5.93742411e-15,6.86804739e+14,6.38644169e+12,5.96420890e-32,2.17607754e-18,2.27526972e-25,3.64856022e+13,1.19991838e+13,1.00000000e+00
329,7.16399557e-17,3.48133664e-02,3.63643937e-10,9.29691599e-28,5.93742543e-15,4.85949021e+14,6.38644626e+12,2.18825930e-31,9.17548291e-18,8.38136165e-25,4.19305104e+13,1.19991838e+13,1.00000000e+00
330,2.65651299e-17,2.52909854e-02,1.69585406e-10,9.29690900e-28,5.93743080e-15,9.52036957e+14,6.38645683e+12,6.33984724e-32,1.98298037e-18,2.40930747e-25,3.12780465e+13,1.19991838e+13,1.00000000e+00
331,2.28811869e-17,2.18235497e-02,1.46179711e-10,9.29690414e-28,5.93743721e-15,9.53776998e+14,6.38646707e+12,5.50456145e-32,1.80966974e-18,2.09434481e-25,3.28758204e+13,1.19991838e+13,1.00000000e+00
332,2.75028784e-17,2.21890452e-02,1.64363261e-10,9.29689752e-28,5.93745296e-15,8.06789923e+14,6.38648855e+12,6.86253050e-32,2.47510272e-18,2.61716177e-25,3.60669103e+13,1.19991838e+13,1.00000000e+00
333,3.44726034e-17,2.35214000e-02,1.93976734e-10,9.29688824e-28,5.93746027e-15,6.82321544e+14,6.38650279e+12,8.52479547e-32,3.57057316e-18,3.26501475e-25,4.18845610e+13,1.19991838e+13,1.00000000e+00
334,5.42695506e-17,2.93926151e-02,2.83946568e-10,9.29688198e-28,5.93747166e-15,5.41604173e+14,6.38651935e+12,1.34868619e-31,6.24487445e-18,5.18221841e-25,4.63033915e+13,1.19991838e+13,1.00000000e+00
335,2.68297852e-17,2.81615799e-02,1.78622356e-10,9.29687167e-28,5.93747435e-15,1.04963867e+15,6.38652932e+12,5.43845788e-32,1.84151413e-18,2.07069736e-25,3.38609615e+13,1.19991838e+13,1.00000000e+00
336,2.42796917e-17,2.56187257e-02,1.62020302e-10,9.29684769e-28,5.93747505e-15,1.05515037e+15,6.38654654e+12,5.05778974e-32,1.71548314e-18,1.92583809e-25,3.39176444e+13,1.19991838e+13,1.00000000e+00
337,5.21166628e-17,3.37486528e-02,2.88176300e-10,9.29683002e-28,5.93747472e-15,6.47559744e+14,6.38655834e+12,1.26465228e-31,5.62877124e-18,4.85295569e-25,4.45084497e+13,1.19991838e+13,1.00000000e+00
338,3.76547719e-17,3.40140202e-02,2.35231108e-10,9.29681414e-28,5.93747584e-15,9.03312342e+14,6.38657045e+12,8.23762641e-32,3.05297980e-18,3.14388042e-25,3.70614015e+13,1.19991838e+13,1.00000000e+00
339,3.02298788e-17,3.19752390e-02,2.01945706e-10,9.29679503e-28,5.93748252e-15,1.05773626e+15,6.38659076e+12,6.39671728e-32,2.13687065e-18,2.43473838e-25,3.34057385e+13,1.19991838e+13,1.00000000e+00
340,4.58906062e-17,3.65641758e-02,2.72961962e-10,9.29678505e-28,5.93749275e-15,7.96768203e+14,6.38660862e+12,1.22085182e-31,4.56332724e-18,4.66045188e-25,3.73782235e+13,1.19991838e+13,1.00000000e+00
341,4.92125441e-17,3.82010146e-02,2.89887357e-10,9.29678096e-28,5.93750478e-15,7.76245473e+14,6.38662437e+12,1.13053832e-31,4.71993692e-18,4.32955721e-25,4.17494642e+13,1.19991838e+13,1.00000000e+00
