[MetricOpStats] ParamMass_M  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] ParamStiffness_K  (rows=14264)
  row_sum       min=-8.9407e-08  max=8.9407e-08  mean=1.38068e-08  max/|min|=1
  |row_sum|     min=2.37605e+08  max=7.92e+08  mean=5.80481e+08  max/min=3.33326
  diag          min=3.96018e+07  max=1.584e+08  mean=1.05543e+08  nonpos=0
  max_abs_entry=1.584e+08
[MetricOpStats] ParamMass_M_reprint  (rows=14264)
  row_sum       min=1.3468e-07  max=0.00594  mean=0.00197907  max/|min|=44104.5
  |row_sum|     min=1.3468e-07  max=0.00594  mean=0.00197907  max/min=44104.5
  diag          min=5.98578e-08  max=0.00264  mean=0.000879586  nonpos=0
  max_abs_entry=0.00264
[MetricOpStats] K_over_M
  |row_sum| ratio  max=1.33333e+11  mean=2.9331e+11
[RieszAutoScale] mean(diag(K))/mean(diag(M)) = 1.19992e+11
[RieszMap] alpha1=1.19992e+13  alpha2=1  mode=auto_balanced  auto_amplify=100
[MetricOpStats] Hcurl_H  (rows=14264  alpha1=1.19992e+13  alpha2=1  solver=sparse_direct)
  row_sum       min=1.61605e+06  max=7.12752e+10  mean=2.37472e+10  max/|min|=44104.5
  |row_sum|     min=2.38144e+08  max=7.17504e+10  mean=2.42207e+10  max/min=301.29
  diag          min=4.032e+07  max=3.18362e+10  mean=1.06599e+10  nonpos=0
  max_abs_entry=3.18362e+10
MrHyDE vector contract check (primal) errors: e[0]=0 e[1]=0 e[2]=0 e[3]=0 e[4]=0 e[5]=0 e[6]=0 e[7]=0 e[8]=0 e[9]=0 e[10]=0 e[11]=0 e[12]=0
MrHyDE vector contract check (dual) errors: e[0]=0 e[1]=7.02677e-20 e[2]=0 e[3]=0 e[4]=0 e[5]=1.29424e-20 e[6]=2.57829e-20 e[7]=0 e[8]=0 e[9]=2.64698e-23 e[10]=4.44089e-16 e[11]=8.86409e-19 e[12]=2.97428e-15
MrHyDE vector contract check: max_primal_err=0 max_dual_err=2.97428e-15 tol=1e-08

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Cubic Interpolation satisfying Wolfe Conditions
-------------------------------------------------------------------------------------------------------------
Quasi-Newton status output definitions

  iter     - Number of iterates (steps taken)
  value    - Objective function value
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  alpha    - Line search step length
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Cumulative number of times the gradient was computed
  ls_#fval - Number of the times the objective function was evaluated during the line search
  ls_#grad - Number of the times the gradient was evaluated during the line search
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          alpha          #fval     #grad     ls_#fval  ls_#grad  
  72    2.058809e-18   2.443752e-08   2.827015e-11   1.000000e+00   151       73        1         0         
  73    1.959172e-18   2.470920e-08   6.058782e-11   1.000000e+00   153       74        1         0         
  74    1.917225e-18   3.418608e-08   4.115429e-11   1.000000e+00   155       75        1         0         
  75    1.857012e-18   2.146615e-08   7.791927e-12   1.000000e+00   157       76        1         0         
  76    1.780375e-18   1.761134e-08   2.331616e-11   1.000000e+00   159       77        1         0         
  77    1.734395e-18   2.167932e-08   2.424836e-11   1.000000e+00   161       78        1         0         
  78    1.701572e-18   4.335462e-08   7.247531e-11   1.000000e+00   163       79        1         0         
  79    1.604310e-18   2.060761e-08   2.131954e-11   1.000000e+00   165       80        1         0         
  80    1.555622e-18   1.846402e-08   1.176959e-11   1.000000e+00   167       81        1         0         
  81    1.501799e-18   2.196197e-08   2.581022e-11   1.000000e+00   169       82        1         0         
  82    1.498362e-18   4.739507e-08   5.044070e-11   1.000000e+00   171       83        1         0         
  83    1.413035e-18   1.904539e-08   7.981999e-12   1.000000e+00   173       84        1         0         
  84    1.373255e-18   1.534490e-08   1.580590e-11   1.000000e+00   175       85        1         0         
  85    1.338040e-18   1.875137e-08   2.449760e-11   1.000000e+00   177       86        1         0         
  86    1.268690e-18   2.244874e-08   4.337475e-11   1.000000e+00   179       87        1         0         
  87    1.236487e-18   2.905595e-08   3.893699e-11   3.714751e-01   182       88        2         0         
  88    1.175769e-18   1.621246e-08   3.497098e-11   1.000000e+00   184       89        1         0         
  89    1.133927e-18   1.512747e-08   2.199732e-11   1.000000e+00   186       90        1         0         
  90    1.095935e-18   2.695527e-08   3.776755e-11   1.000000e+00   188       91        1         0         
  91    1.060952e-18   2.293462e-08   2.545933e-11   1.000000e+00   190       92        1         0         
  92    1.026143e-18   1.498320e-08   7.920593e-12   1.000000e+00   192       93        1         0         
  93    9.830958e-19   1.782947e-08   2.791929e-11   1.000000e+00   194       94        1         0         
  94    9.613809e-19   2.334313e-08   2.478627e-11   1.000000e+00   196       95        1         0         
  95    9.253086e-19   1.870372e-08   3.413463e-11   1.000000e+00   198       96        1         0         
  96    9.128601e-19   3.553449e-08   6.148395e-11   1.000000e+00   200       97        1         0         
  97    8.658347e-19   1.452774e-08   1.244497e-11   1.000000e+00   202       98        1         0         
  98    8.482429e-19   1.290737e-08   4.854010e-12   1.000000e+00   204       99        1         0         
  99    8.213842e-19   1.792936e-08   2.067449e-11   1.000000e+00   206       100       1         0         
  100   8.062251e-19   1.468688e-08   1.814543e-11   4.371580e-01   209       101       2         0         
  101   7.913504e-19   1.344890e-08   2.268788e-11   1.000000e+00   211       102       1         0         
  102   7.717604e-19   1.861675e-08   4.830628e-11   1.000000e+00   213       103       1         0         
  103   7.556456e-19   1.331291e-08   2.118959e-11   4.936760e-01   216       104       2         0         
  104   7.400903e-19   1.208909e-08   1.112423e-11   1.000000e+00   218       105       1         0         
